"Parcel","TaxPayer","Address","City","State","Zip","Zip4","Phone","Email","SitusAddress","YearBuilt","AgentName""AgentContact","AgentAddress","AgentCity","AgentState","AgentZip","AgentZip4","AgentPhone","AgentEmail"
"110091850","SCHOTT CHRISTOPHER & ALLISON LIVING TR","10462 S CUTTING HORSE DR","VAIL","AZ","85641","6839","5204816430","AMA7@LIVE.COM","2802 N CLOVERLAND AV (TUC)","1963","OWNER AGENT","","","  ","     ","    ","          ",""
"117033650","BARBEE MIKE & AMY CP/RS","9140 E CANYON TERRACE DR","TUCSON","AZ","85715","5597","5202982395","MBARBEE@ALPHAGRAPHICS.COM","611 E 4TH ST (TUC)","1916","OWNER AGENT","","","  ","     ","    ","          ",""
"111042270","OGLE FAMILY TR","370 LEDROIT ST","LAGUNA BEACH","CA","92651","1349","9492443150","MARTINOGLE@GMAIL.COM","3317 E FORT LOWELL RD (TUC)","1973","RICH REALTY INC 02","8230 E BROADWAY BLVD W8","TUCSON","AZ","85710","4002","5207601666","RICH@RICHREALTY.COM"
"111042430","ADAMAKIS NICOLAS A","128 E DESERT WIND DR","PHOENIX","AZ","85048","1815","5203706260","GRAZER@ME.COM","3304 E NAVAJO PL (TUC)","1974","OWNER AGENT","","","  ","     ","    ","          ",""
"117033930","CALLIS MARC & KHANH CP/RS","75 UPLAND RD","WINTHROP","MA","02152","1527","5203657603","MSCALLIS@GMAIL.COM","101 E UNIVERSITY BLVD #7","1961","MAZOYER FABIENNE","212 E UNIVERSITY BLVD","TUCSON","AZ","85705","7741","5203956655",""
"111063210","CHRISTMAS ANTHONY M","80 INCA ST","DENVER","CO","80223","1524","3033584514","TONY.CHRISTMAS@ME.COM","2921 N FLANWILL BL (TUC)","1959","BANCROFT & ASSOCIATES 02","4884 E BROADWAY BLVD","TUCSON","AZ","85711","3610","5208814884",""
"111082240","ROBINSON RICHARD DAVID & CINDY LEE LIVING TR","4300 N WINDRIDGE LOOP","TUCSON","AZ","85749","8970","5205550000","52ROBRICH@GMAIL.COM","2610 N DODGE BL (TUC)","0","BANCROFT & ASSOCIATES 01","4884 E BROADWAY BLVD","TUCSON","AZ","85711","3610","5208814884","INFOR@BANCROFTRENTS.COM"
"119215200","BLEDSOE CORNELIUS L","9054 W OLD AGAVE TRL","MARANA","AZ","85653","1427","5209907099","CBLEDSOE@PIMA.EDU","3320 S PLACITA SALTILLO (TUC)","1981","NEW CONCEPT PROPERTY MANAGEMENT","7650 E BROADWAY BLVD STE 107","TUCSON","AZ","85710","3772","5205517247","DINO@NEWCONCEPTPROPERTIES.COM"
"11931010A","THURESON KATHYLEE & WAYNE CP/R","5610 W EL CAMINO DEL CERRO","TUCSON","AZ","85745","9329","5207439971","","2905 W 36TH ST (TUC)","1980","OWNER AGENT","","","  ","     ","    ","          ",""
"120077380","DE LA TORRE FAMILY LIVING TR","137 W PENNSYLVANIA DR","TUCSON","AZ","85714","2642","5202756628","","420 W DISTRICT ST (TUC)","1938","OWNER AGENT","","","  ","     ","    ","          ",""
"12106030B","SMITH EVAN G","225 PAMELA DR APT 213","MOUNTAIN VIEW","CA","94040","3251","6508617569","EVANGSMITH2002@YAHOO.COM","5550 E BELLEVUE ST","0","SKYLINE PROPERTIES INC 02","PO BOX 1326","VAIL","AZ","85641","1326","5205776570","SKYLINEPROPERTIES@HOTMAIL.COM"
"12111113F","ENDRES DAVID J","1909 N RIDGEWAY RD","TUCSON","AZ","85712","4303","4159022345","CACTI36@YAHOO.COM","1560 N MOUNTAIN VIEW AV (TUC)","2003","NEW CONCEPT PROPERTY MANAGEMENT","7650 E BROADWAY BLVD STE 107","TUCSON","AZ","85710","3772","5205517247","DINO@NEWCONCEPTPROPERTIES.COM"
"121111980","SEADER ALEXIS E","4821 E PASEO LUISA","TUCSON","AZ","85711","5301","5203257549","","1601 N SANTA ROSA AV (TUC)","1958","OWNER AGENT","","","  ","     ","    ","          ",""
"122010180","MC PHERSON SHANNON","16535 SE 28TH ST","BELLEVUE","WA","98008","5619","4256441796","SIMCPHERSON@COMCAST.COM","4647 E DUNCAN ST (TUC)","1955","MC PHERSON G C 01","6967 E RIVER RD","TUCSON","AZ","85750","2049","5208880438",""
"122080310","ALLEGRO PROPERTIES LLC","1717 E VISTA CHINO STE A7-842","PALM SPRINGS","CA","92262","3559","3105694748","BIDDYSCHIPPISS@AOL.COM","4227 E NORTH ST","0","REGISTERED AGENTS INC","1846 E INNOVATION PARK DR STE 100","ORO VALLEY","AZ","85755","1963","5203341150","COMPLIANCE@LLCAGENT.COM"
"122080320","ALLEGRO PROPERTIES LLC","1717 E VISTA CHINO STE A7-842","PALM SPRINGS","CA","92262","3559","3105694748","BIDDYSCHIPPISS@AOL.COM","4545 E NORTH ST","0","REGISTERED AGENTS INC","1846 E INNOVATION PARK DR STE 100","ORO VALLEY","AZ","85755","1963","5203341150","COMPLIANCE@LLCAGENT.COM"
"123041200","PATTERSON FAMILY TR","2802 E SENECA ST","TUCSON","AZ","85716","3023","5206480488","JDPATTERSON@COX.NET","2802 E SENECA ST (TUC)","1967","OWNER AGENT","","","  ","     ","    ","          ",""
"122020180","DODD THOMAS A","407-1858 5TH AVE W","VANCOUVER BC CANADA V6J 1P3","AZ","     ","    ","6047342810","TADODD2011@GMAIL.COM","2311 N MADELYN CI (TUC)","1955","TUCSON REALTY & TRUST CO MANAGMENT SERVICES 02","2525 E BROADWAY BLVD STE 111","TUCSON","AZ","85716","5398","5203270009","INFO@TRTMANAGEMENT.COM"
"11423034A","NOVAK BRUCE C & MARGARET E TR","8987 E TANQUE VERDE RD STE 309","TUCSON","AZ","85749","9399","5208343874","","10430 E CALLE DESCANSO (PC)","1975","REAL PROPERTY MANAGEMENT 02","6380 E TANQUE VERDE RD STE 100","TUCSON","AZ","85715","3822","5208294500","CUSTOMERSERVICE@RPMRINCON.COM"
"101113000","STOLZENBACH ROBERT D & SHERRI C CP/RS","190 E NICKLAUS AVE","KALISPELL","MT","59901","2783","4062496540","BOBNSHER82@GMAIL.COM","2710 W SANDBROOK LN (PC)","1987","TUCSON REALTY & TRUST CO MANAGMENT SERVICES 02","2525 E BROADWAY BLVD STE 111","TUCSON","AZ","85716","5398","5203270009","INFO@TRTMANAGEMENT.COM"
"103123290","CORLEW DOUGLAS J & INIGUEZ-CORLEW DIANA","3808 N BANNER MINE DR","TUCSON","AZ","85745","4108","5204717500","douglascorlew@gmail.com","3808 N BANNER MINE DR (PC)","2000","OWNER AGENT","","","  ","     ","    ","          ",""
"113077210","CASKEY MATTHEW D","3663 S CHERYL DR","FLAGSTAFF","AZ","86005","9026","5203220000","","1717 E GLENN ST #6101","2002","FORT LOWELL REALTY & PROPERTY MANAGEMENT 04","2026 E PRINCE RD","TUCSON","AZ","85719","2005","5203220000","JIM@FLRAZ.COM"
"114462300","MILDENBERGER SILKE","7529 E BEACH DR","TUCSON","AZ","85715","3649","5204904776","mail@silkemildenberger.com","7529 E BEACH DR (TUC)","1984","OWNER AGENT","","","  ","     ","    ","          ",""
"117030250","ALBERT DONALD J REVOC LIVING TR","522 E 2ND ST","TUCSON","AZ","85705","7871","5207843392","","827 N BEAN AV (TUC)","1908","PROPERTY MANAGEMENT GROUP (THE) 02","6720 E CAMINO PRINCIPAL STE 103","TUCSON","AZ","85715","3909","5207217121","STACY.TPMG@QWESTOFFICE.NET"
"118241700","22 W 34TH ST LLC","22 W 34TH ST","TUCSON","AZ","85713","4393","5203071476","BRACEINVESTMENTS@OUTLOOK.COM","22 W 34TH ST (STUC)","1933","OWNER AGENT","","","  ","     ","    ","          ",""
"121063290","IRONWOOD MANAGEMENT LLC","2130 N ARBOR VISTA DR","TUCSON","AZ","85749","8434","5204004272","jenn.noseck@gmail.com","5540 E FAIRMOUNT ST (TUC)","1961","OWNER AGENT","","","  ","     ","    ","          ",""
"121070690","JACKSON BRENDA L","9171 E 8TH ST","TUCSON","AZ","85710","3113","5203209962","bljstarr@yahoo.com","6035 E FAIRMOUNT ST (TUC)","1961","OWNER AGENT","","","  ","     ","    ","          ",""
"12109285B","FEENEY CRAIG M","1810 N SANTA ROSA AVE","TUCSON","AZ","85712","3531","5203495142","dw135@netzero.net","1810 N SANTA ROSA AV (TUC)","1984","OWNER AGENT","","","  ","     ","    ","          ",""
"12217121A","ZONAPAZ LLC","0823 SW PENNOYER ST","PORTLAND","OR","97239","4401","5034068777","gene@zonapaz.com","3425-3427 E FAIRMONT ST","1972","REGISTERED AGENTS INC","1846 E INNOVATION PARK DR STE 100","ORO VALLEY","AZ","85755","1963","5203341150","COMPLIANCE@LLCAGENT.COM"
"127051130","TKACHYK STEVE W","3480 N CAMINO DE LA FAMILIA","TUCSON","AZ","85750","2856","5203310051","","4807/4809 E 2ND ST","0","CENTURY 21 1ST AMERICAN 01","8830 E SPEEDWAY BLVD","TUCSON","AZ","85710","1832","5208866023","TJOHNJES@GMAIL.COM"
"13304024F","TKACHYK STEVE W & JEAN M CP/RS","3480 N CAMINO DE LA FAMILIA","TUCSON","AZ","85750","2856","5203310051","","1505 N OHANA PL (TUC)","1963","CENTURY 21 1ST AMERICAN 01","8830 E SPEEDWAY BLVD","TUCSON","AZ","85710","1832","5208866023","TJOHNJES@GMAIL.COM"
"133044180","BLEDSOE MICHELE JEAN","210 W ASHER ST","CULPEPER","VA","22701","3237","5402501379","MBLEDSOEFORCEY@GMAIL.COM","1737 N WRIGHTSTOWN PL (TUC)","1983","REGISTERED AGENTS INC","1846 E INNOVATION PARK DR STE 100","ORO VALLEY","AZ","85755","1963","5203341150","COMPLIANCE@LLCAGENT.COM"
"133085410","BRADFORD GAIL M & BRADFORD JAMES C & MARY C","2188 N PANTANO RD UNIT 140","TUCSON","AZ","85715","6923","5204711219","","2188 N PANTANO RD UNIT 140","1985","BLUE FOX PROPERTIES 02","7368 N LA CHOLLA BLVD","TUCSON","AZ","85741","2305","5207807888","MARYANN@BLUEFOXPROPERTIES.COM"
"133263470","KOCH RAYMOND J & LYNN M JT/RS","8251 E 3RD PL","TUCSON","AZ","85710","2549","5202504778","raykoch@yahoo.com","8251 E 3RD PL (TUC)","1965","OWNER AGENT","","","  ","     ","    ","          ",""
"140401470","LIZZO MATTHEW L & RUTHNONA S CP/RS","6607 S WILLOW VISTA DR","TUCSON","AZ","85756","8683","6236401874","","6607 S WILLOW VISTA DR (TUC)","2007","BLUE FOX PROPERTIES 02","7368 N LA CHOLLA BLVD","TUCSON","AZ","85741","2305","5207807888","MARYANN@BLUEFOXPROPERTIES.COM"
"141181970","ROGGE ERIC","10244 E PROSPECT VISTA WAY","TUCSON","AZ","85747","5149","5209041100","erogge6@gmail.com","10244 E PROSPECT VISTA WY (TUC)","1999","NEW CONCEPT PROPERTY MANAGEMENT","7650 E BROADWAY BLVD STE 107","TUCSON","AZ","85710","3772","5205517247","DINO@NEWCONCEPTPROPERTIES.COM"
"141194310","ANGLE ALEX & DIANA L CP/RS","10072 E PASEO SAN ARDO","TUCSON","AZ","85747","5254","5208699173","asangle08@gmail.com","10072 E PASEO SAN ARDO (TUC)","1996","OWNER AGENT","","","  ","     ","    ","          ",""
"20533047A","SOLDIER TRAIL IRREVOC TR","9250 E 27TH ST","TUCSON","AZ","85710","7405","5209045311","maryt29@centurylink.net","4051 N SOLDIER TR (PC)","1975","NEW CONCEPT PROPERTY MANAGEMENT","7650 E BROADWAY BLVD STE 107","TUCSON","AZ","85710","3772","5205517247","DINO@NEWCONCEPTPROPERTIES.COM"
"20587084B","COOKE BRYCE M","13560 E RINCON RANCH RD","VAIL","AZ","85641","6086","5204884945","brycecooke@msn.com","13560 E RINCON RANCH RD (PC)","0","OWNER AGENT","","","  ","     ","    ","          ",""
"219490110","DI PALMA FAMILY TR","85 ROCA ROJA RD","SEDONA","AZ","86351","8959","5204959960","readejackson@hotmail.com","1036 W BLUE ROSE PL (OV)","2007","OWNER AGENT","","","  ","     ","    ","          ",""
"222423290","GERSH AARON & LYNNETT LIVING TR","4984 SUDBURY WAY","FONTANA","CA","92336","0684","5205551212","silverliningaz@gmail.com","14895 N GWYNNS RUN DR (PC)","2005","NEW CONCEPT PROPERTY MANAGEMENT","7650 E BROADWAY BLVD STE 107","TUCSON","AZ","85710","3772","5205517247","DINO@NEWCONCEPTPROPERTIES.COM"
"224450930","9840 N MOON CANYON LLC","12625 S PAINTED PONY TRL","VAIL","AZ","85641","9550","5203071476","BRACEINVESTMENTS@OUTLOOK.COM","9840 N MOON CANYON PL (PC)","1987","OWNER AGENT","","","  ","     ","    ","          ",""
"224452500","FORD DANIEL L & NANCY E CP/RS","912 KALEY ST","FRUITA","CO","81521","2592","9707733038","ndford@sbcglobal.net","3330 W DESERT BEND LP (PC)","1992","OWNER AGENT","","","  ","     ","    ","          ",""
"225261210","QUINN DAVID A","7621 PEABODY DR","AUSTIN","TX","78729","8010","5204448232","dquinn53@gmail.com","2749 W PLACITA MESA ALTA (PC)","1995","ERICKSON LEIF","501 E DEONE CIRCLE","TUCSON","AZ","85704","6923","5209099316",""
"225325850","CHAPMAN JOSEPH R","3395 W TRANQUILITY CT","TUCSON","AZ","85741","1229","5208290729","","3395 W TRANQUILITY CT (PC)","1992","BLUE FOX PROPERTIES 02","7368 N LA CHOLLA BLVD","TUCSON","AZ","85741","2305","5207807888","MARYANN@BLUEFOXPROPERTIES.COM"
"303726740","GARCIA/SYKES LIVING TR","879 W CALLE VALENCIANA","SAHUARITA","AZ","85629","8201","6023177956","garciaskykes@cox.net","879 W CALLE VALENCIANA (SAH)","2008","PROPERTY MANAGEMENT GROUP (THE) 02","6720 E CAMINO PRINCIPAL STE 103","TUCSON","AZ","85715","3909","5207217121","STACY.TPMG@QWESTOFFICE.NET"
"304214150","PEARSALL ROBERT & ERIKA LIVING TR","263 N ABREGO DR","GREEN VALLEY","AZ","85614","2929","5206487304","","346 S PASEO AGUILA APT B","1964","GREEN VALLEY RENTAL PROPERTIES LLC","275 W CONTINENTAL RD STE 181","GREEN VALLEY","AZ","85622","3626","5209188181",""
"304215040","TIEHEN THERESA ANN LIVING TR","6650 E ELLIS ST","MESA","AZ","85205","6023","3038594740","","408 S PASEO CERRO (PC)","1964","GREEN VALLEY RENTAL PROPERTIES LLC","275 W CONTINENTAL RD STE 181","GREEN VALLEY","AZ","85622","3626","5209188181",""
"304771920","KUCERA JOSEPH ALOIS","15206 HAWTHORN AVE","CHINO HILLS","CA","91709","2997","9095977221","","1161 W BOSCH DR (PC)","2009","GREEN VALLEY RENTAL PROPERTIES LLC","275 W CONTINENTAL RD STE 181","GREEN VALLEY","AZ","85622","3626","5209188181",""
"305057150","FIESELMAN EVERETT H","1494 W PARKHILL AVE","LITTLETON","CO","80120","2613","7209888242","","12850 E RED IRON TR (PC)","2005","EASTON JANET & POULSEN","14019 E BAROUCHE DR","VAIL","AZ","85641","5986","3039957097","EASTON6147@Q.COM"
"305190470","DUNHAM DANIEL & DEBORAH","13844 E BLUE CACTUS LN","VAIL","AZ","85641","9242","5205551212","","13844 E BLUE CACTUS LN (PC)","0","SUBURBAN REAL ESTATE GROUP LLC 01","PO BOX 886","SAHUARITA","AZ","85629","0886","5202323888","OFFICE@SUBURBGROUP.COM"
"30534090A","LARSON GREGORY J & HILARY A CP/RS","925 S SPOSITO PL","VAIL","AZ","85641","6729","5202456271","gregoryjlarson@gmail.com","925 S SPOSITO PL (PC)","2006","OWNER AGENT","","","  ","     ","    ","          ",""
"305673010","DYER PHILLIP L & NICOLE E CP/RS","9118 E SCARLET BLUFFS PL","VAIL","AZ","85641","2723","7606855316","lancedyer@gmail.com","17558 S GARDEN SAGE LP (PC)","2008","OWNER AGENT","","","  ","     ","    ","          ",""
"123071340","HARVEY LEE ALLEN MD","8727 E HARBORAGE DR","TUCSON","AZ","85710","6222","8582325285","LHARVEYMD@YAHOO.COM","1226 N OLSEN AV (TUC)","1937","OWNER AGENT","","","  ","     ","    ","          ",""
"123061390","RICE TERRY J LIVING TR","340 EMBARCADERO RD","PALO ALTO","CA","94301","3621","6502074142","TRICE@APR.COM","2416 E ADAMS ST (TUC)","1937","PROPERTY MANAGEMENT GROUP (THE) 03","6720 E CAMINO PRINCIPAL STE 103","TUCSON","AZ","85715","3909","5207217121","EDWARD.TPMG@QWEST.NET"
"10220240A","6066 N SERENDIPITY LLC","642 S GILPIN ST","DENVER","CO","80209","4512","3035242545","dlsipe@earthlink.net","6066 N SERENDIPITY LN (PC)","1994","SWARTZ STACIE","4634 E EASTLAND","TUCSON","AZ","85711","4848","5209400482","STACIE.SWARTZ49@YAHOO.COM"
"125071340","KYTE FAMILY TR","3761 E CALLE DE SOTO","TUCSON","AZ","85716","5123","2063230813","TERRYJAYKYTE@GMAIL.COM","2709 E 6TH ST (TUC)","1950","OWNER AGENT","","","  ","     ","    ","          ",""
"108213340","4214 N RILLITO CREEK LLC","642 S GILPIN ST","DENVER","CO","80209","4512","3035242545","dlsipe@earthlink.net","4214 N RILLITO CREEK PL (TUC)","1994","SWARTZ STACIE","4634 E EASTLAND","TUCSON","AZ","85711","4848","5209400482","STACIE.SWARTZ49@YAHOO.COM"
"125075610","B & D VENTURE LLC","1935 E 4TH ST","TUCSON","AZ","85719","5113","5204709737","FRASQUIL@GMAIL.COM","2104 E 7TH ST (TUC)","1927","OWNER AGENT","","","  ","     ","    ","          ",""
"125075860","BOTTOMLEY DAVID F & JULIE M","874 W CALLE DE LOS HIGOS","TUCSON","AZ","85745","3249","5204425230","IMJULIEBELLE@MSN.COM","2033 E 8TH ST (TUC)","1949","HABITATION REALTY INC 02","107 W 5TH ST","TUCSON","AZ","85705","8201","5203335373","HABITATION RENTALS@GMAIL.COM"
"303776110","TUCKER STACY","PSC 2 BOX 15428","APO","AE","09012","0155","2155846144","TUCKER.STACYH@GMAIL.COM","13801 S CAMINO LINIO (SAH)","2012","SUBURBAN REAL ESTATE GROUP LLC 01","PO BOX 886","SAHUARITA","AZ","85629","0886","5202323888","OFFICE@SUBURBGROUP.COM"
"125100380","BALLASH KURT","619 E WALNUT AVE","BURBANK","CA","91501","1725","8189687293","KXBALLASH@GMAIL.COM","1013 N PALO VERDE BL (TUC)","0","SKYLINE PROPERTIES INC 02","PO BOX 1326","VAIL","AZ","85641","1326","5205776570","SKYLINEPROPERTIES@HOTMAIL.COM"
"126090260","HEDGCOCK CHARLES LIVING TR","4120 E OXFORD DR","TUCSON","AZ","85711","2839","5208502097","HEDGCOCK@EMAIL.ARIZONA.EDU","4120 E OXFORD DR (TUC)","1951","OWNER AGENT","","","  ","     ","    ","          ",""
"126063210","TRINH TUAN & TRAN BICH CP/RS","7247 E ELI DR","TUCSON","AZ","85710","4910","2816837248","TUANVANTRINH@GMAIL.COM","910 N ALVERNON WAY APT D","1959","OWNER AGENT","","","  ","     ","    ","          ",""
"127130660","CUMBERWORTH SUANTAK FAMILY TR","6033 E WENDREW LN","TUCSON","AZ","85711","2516","5206472431","LS70@CORNELL.EDU","6041 E WENDREW LN (TUC)","1959","NEW CONCEPT PROPERTY MANAGEMENT","7650 E BROADWAY BLVD STE 107","TUCSON","AZ","85710","3772","5205517247","DINO@NEWCONCEPTPROPERTIES.COM"
"127070050","ANSAY JOHN P & LINDA L CP/RS","5441 E CAMINO BOSQUE","TUCSON","AZ","85718","3842","5205292028","JLANSAY.ANSAY5@GMAIL.COM","5121 E 6TH ST (TUC)","1959","OWNER AGENT","","","  ","     ","    ","          ",""
"127121900","5732 E 7TH STREET LLC","850 N BARBARA WORTH","TUCSON","AZ","85710","1102","5209074141","TUCSONHOMEFINDER@AOL.COM","5732 E 7TH ST (TUC)","1963","OWNER AGENT","","","  ","     ","    ","          ",""
"128113360","18TH STREET LLC","7660 325TH AVE NW","PRINCETON","MN","55371","4921","5205517247","TERRY.BICAN@GMAIL.COM","4849 E 13TH ST (TUC)","1950","NEW CONCEPT PROPERTY MANAGEMENT","7650 E BROADWAY BLVD STE 107","TUCSON","AZ","85710","3772","5205517247","DINO@NEWCONCEPTPROPERTIES.COM"
"12904210A","INA BREAKFAST CLUB 1 LLC","1814 E BLACKLIDGE DR","TUCSON","AZ","85719","2707","2063230813","BBCTUCSON@GMAIL.COM","2050 E 12TH ST","0","HABITATION REALTY INC 02","107 W 5TH ST","TUCSON","AZ","85705","8201","5203335373","HABITATION RENTALS@GMAIL.COM"
"303766050","TENNEY NATHAN & JAN V CP/RS","612 W PASEO CELESTIAL","SAHUARITA","AZ","85629","8643","5200000000","","612 W PASEO CELESTIAL (SAH)","2006","OWNER AGENT","","","  ","     ","    ","          ",""
"132101010","IV PROPERTY LLC","PO BOX 68707","TUCSON","AZ","85737","0004","5209774008","GARCIASFAMILY@YAHOO.COM","2210 E IRENE VISTA (TUC)","1953","OWNER AGENT","","","  ","     ","    ","          ",""
"132110580","PREFERRED TRUST CO FBO LINDA KERN","2471 W HORIZON RIDGE PKWY STE 100","HENDERSON","NV","89052","5953","7029907892","ACCT@PTCEMAIL.COM","2252 E MONTEREY VISTA","0","OWNER AGENT","","","  ","     ","    ","          ",""
"133031080","HARRISON FAMILY TR","6328 CERROMAR CIR","ORANGEVALE","CA","95662","3822","9167355064","ROYLEANHARRISON1@YAHOO.COM","9550 E CALLE CASCADA (TUC)","1973","LANDON MANAGEMENT CO","273 S SCOTT AVE","TUCSON","AZ","85701","1920","5202842433","SWESTER@LANDONMGMT.COM"
"133090910","PRONISKE GREGG","1475 S JONES BLVD APT G13","TUCSON","AZ","85713","2390","5207217121","","8181 E HELEN ST (TUC)","1971","PROPERTY MANAGEMENT GROUP (THE) 02","6720 E CAMINO PRINCIPAL STE 103","TUCSON","AZ","85715","3909","5207217121","STACY.TPMG@QWESTOFFICE.NET"
"133160980","PARKER KYLE","1600 N WILMOT RD UNIT 226","TUCSON","AZ","85712","4421","5207773174","","LAS COLINAS CONDO UNITE 226 BLDG 8","1973","BLUE FOX PROPERTIES 02","7368 N LA CHOLLA BLVD","TUCSON","AZ","85741","2305","5207807888","MARYANN@BLUEFOXPROPERTIES.COM"
"133162200","GIRGA MARTIN & MARIA CP/RS","3312 W ALEXANDERWOOD DR","TUCSON","AZ","85746","1081","5206587868","","LAS COLINAS CODO UNIT 284 BLDG 24","1973","BLUE FOX PROPERTIES 02","7368 N LA CHOLLA BLVD","TUCSON","AZ","85741","2305","5207807888","MARYANN@BLUEFOXPROPERTIES.COM"
"13323101E","RADIUM INVESTMENTS I LLC","21620 N 19TH AVE STE A13","PHOENIX","AZ","85027","2716","6234340175","JAINFODESK@GMAIL.COM","7424 E SPEEDWAY BL (TUC)","0","MEB MANAGEMENT SERVICES 01","120 E CONGRESS ST STE 100","TUCSON","AZ","85701","1708","5206201615",""
"13324006E","MIGUIRE HILL LLC","21620 N 19TH AVE STE A13","PHOENIX","AZ","85027","2716","6234340175","JAINFODESK@GMAIL.COM","207 N MAGUIRE AV (TUC)","0","MEB MANAGEMENT SERVICES 01","120 E CONGRESS ST STE 100","TUCSON","AZ","85701","1708","5206201615",""
"133271830","BLUE SIDE UP LLC","2033 E CORTEZ DR","GILBERT","AZ","85234","3830","5202070162","SHERMANTANK4@HOTMAIL.COM","RINCON VILLAGE UNIT 704","1985","REAL PROPERTY MANAGEMENT 02","6380 E TANQUE VERDE RD STE 100","TUCSON","AZ","85715","3822","5208294500","CUSTOMERSERVICE@RPMRINCON.COM"
"133410760","MARTINEZ RAFAEL & LUCIA JT/RS","3173 S QUINN DR","TUCSON","AZ","85730","3628","5202259260","RAFA_614@HOTMAIL.COM","9665 E COLETTE ST (TUC)","1973","OWNER AGENT","","","  ","     ","    ","          ",""
"133441440","CASE TYLER","7751 E MARY DR","TUCSON","AZ","85730","1831","5204440836","T.CASE@COX.NET","961 N INDEPENDENCE AV (TUC)","1983","OWNER AGENT","","","  ","     ","    ","          ",""
"134051330","DELINGER DIANA L","8339 E RUBY DR","TUCSON","AZ","85730","2043","5209073058","","774 S CIUDAD CI (TUC)","1976","CENTURY 21 1ST AMERICAN 01","8830 E SPEEDWAY BLVD","TUCSON","AZ","85710","1832","5208866023","TJOHNJES@GMAIL.COM"
"13415002A","VP RIVER OAKS LLC","360 CENTRAL AVE STE 1720","ST PETERSBURG","FL","33701","3803","5200000000","","7730 E BROADWAY BL (TUC)","0","MEB MANAGEMENT SERVICES 01","120 E CONGRESS ST STE 100","TUCSON","AZ","85701","1708","5206201615",""
"134230820","MC PHERSON JAMES E & SHANNON CP/RS","16535 SE 28TH ST","BELLEVUE","WA","98008","5619","4256441796","SIMCPHERSON@COMCAST.NET","6541 E COOPER ST (TUC)","1952","MC PHERSON G C 01","6967 E RIVER RD","TUCSON","AZ","85750","2049","5208880438",""
"135020570","ADAMSON JOEL D","1502 S AVENIDA SIRIO","TUCSON","AZ","85710","5232","5099877228","JOELL86@GMAIL.COM","1502 S AVENIDA SIRIO (TUC)","1956","NEW CONCEPT PROPERTY MANAGEMENT","7650 E BROADWAY BLVD STE 107","TUCSON","AZ","85710","3772","5205517247","DINO@NEWCONCEPTPROPERTIES.COM"
"136141720","LIBERATOR 2017 LIVING TR","2101 SALIDA DEL SOL CT","LAS CRUCES","NM","88005","4381","5752022069","FSWAT 49@GMAIL.COM","3307 S LAKESIDE RIDGE LP (TUC)","2010","TUCSON MANAGEMENT INC 03","6720 E CAMINO PRINCIPAL STE 103","TUCSON","AZ","85715","3909","5207217121","EDWARD.TPMG@QWESTOFFICE.NET"
"136201190","REDDING JAMES D & JULIE E CP/RS","748 S WILLIS RAY AVE","VAIL","AZ","85641","6852","5208867164","JAMESJJSASSY@MSN.COM","3425 S MANITOBA AV (TUC)","1973","OWNER AGENT","","","  ","     ","    ","          ",""
"136231530","CP3 PROPERTY LLC","PO BOX 68707","TUCSON","AZ","85737","0004","5209774008","GARCIASFAMILY@YAHOO.COM","3501 S CALLE POLAR (TUC)","1971","OWNER AGENT","","","  ","     ","    ","          ",""
"13623610A","CP2 PROPERTY LLC","PO BOX 68707","TUCSON","AZ","85737","0004","5209774008","GARCIASFAMILY@YAHOO.COM","3609 S CALLE POLAR (TUC)","1973","OWNER AGENT","","","  ","     ","    ","          ",""
"136238240","SARNOCINSKI MICHELLE A","PO BOX 66072","TUCSON","AZ","85728","6072","5203707810","MICHELLE.SISTERS@YAHOO.COM","6428 E DAVID DR (TUC)","1997","OWNER AGENT","","","  ","     ","    ","          ",""
"136310500","HINZ BRIAN E","8411 S MOUNT ELISE RD","TUCSON","AZ","85747","5759","3072537628","BRIAN.247399@GMAIL.COM","10060 E DESERT AIRE DR (TUC)","1986","OWNER AGENT","","","  ","     ","    ","          ",""
"137030470","NORIEGA ARTURO J & MELVINA A JT/RS","4241 E CANADA STRA","TUCSON","AZ","85706","2921","5205915737","MNORIEGA56@GMAIL.COM","5210 S HAMPTON ROADS DR (TUC)","1958","OWNER AGENT","","","  ","     ","    ","          ",""
"137071530","ALCARAZ LILIA G","3609 S 13TH AVE","TUCSON","AZ","85713","6005","5202072895","LILIA5298@HOTMAIL.COM","5222 S 9TH AV (TUC)","1957","OWNER AGENT","","","  ","     ","    ","          ",""
"137167460","WHARTON MARK & JUDI JT/RS","5864 E BROADWAY AVE","APACHE JUNCTION","AZ","85119","9802","4809838783","JWHORTON27@GMAIL.COM","3060 W MOUNTAIN DEW ST (PC)","2007","OWNER AGENT","","","  ","     ","    ","          ",""
"137281840","DR PROPERTY LLC","PO BOX 68707","TUCSON","AZ","85737","0004","5209774008","GARCIASFAMILY@YAHOO.COM","730 W DREXEL RD (TUC)","1972","OWNER AGENT","","","  ","     ","    ","          ",""
"137301600","LANDWEHR MARK & MICHELLE CP/RS","480 MORSE LANDING DR","CICERO","IN","46034","9595","3174201171","","1674 W PARK WOOD LN (TUC)","1984","CURLEY MARTIN S","16880 S LONE SAGUARO RD","SAHUARITA","AZ","85629","7006","3177107097",""
